track_title,track_n,line,word
The Power of Love (Radio Edit),1,NA,NA
If You Asked Me To,2,1,believed
If You Asked Me To,2,2,believed
If You Asked Me To,2,2,love
If You Asked Me To,2,3,time
If You Asked Me To,2,3,feeling
If You Asked Me To,2,4,love
If You Asked Me To,2,4,trust
If You Asked Me To,2,5,heart
If You Asked Me To,2,5,darlin
If You Asked Me To,2,8,change
If You Asked Me To,2,8,mind
If You Asked Me To,2,9,life
If You Asked Me To,2,9,forever
If You Asked Me To,2,11,heart
If You Asked Me To,2,12,stay
If You Asked Me To,2,12,arms
If You Asked Me To,2,12,forever
If You Asked Me To,2,17,feeling
If You Asked Me To,2,17,darlin
If You Asked Me To,2,17,found
If You Asked Me To,2,18,found
If You Asked Me To,2,18,home
If You Asked Me To,2,18,finally
If You Asked Me To,2,18,home
If You Asked Me To,2,19,close
If You Asked Me To,2,19,darlin
If You Asked Me To,2,20,free
If You Asked Me To,2,22,change
If You Asked Me To,2,22,mind
If You Asked Me To,2,23,life
If You Asked Me To,2,23,forever
If You Asked Me To,2,25,heart
If You Asked Me To,2,26,stay
If You Asked Me To,2,26,arms
If You Asked Me To,2,26,forever
If You Asked Me To,2,29,world
If You Asked Me To,2,29,baby
If You Asked Me To,2,31,baby
If You Asked Me To,2,32,baby
If You Asked Me To,2,34,life
If You Asked Me To,2,34,forever
If You Asked Me To,2,36,gotta
If You Asked Me To,2,37,gotta
If You Asked Me To,2,37,gotta
If You Asked Me To,2,38,gotta
If You Asked Me To,2,40,world
If You Asked Me To,2,41,world
If You Asked Me To,2,42,baby
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,1,tale
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,1,time
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,2,true
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,3,barely
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,3,friends
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,4,bends
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,5,unexpectedly
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,6,change
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,8,scared
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,9,prepared
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,10,beauty
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,10,beast
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,12,surprise
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,15,sun
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,15,rise
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,16,NA
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,18,surprise
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,21,sun
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,21,rise
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,23,tale
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,23,time
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,24,tune
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,24,song
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,25,bittersweet
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,25,strange
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,26,finding
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,26,change
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,27,learning
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,27,wrong
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,28,sun
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,28,sun
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,29,rising
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,29,east
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,29,tale
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,29,time
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,30,song
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,30,rhyme
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,31,beauty
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,31,beast
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,32,tale
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,32,time
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,33,song
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,33,rhyme
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,34,beauty
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,34,beast
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,35,whoa
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,36,ooh
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,37,beauty
Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,37,beast
Because You Loved Me,4,NA,NA
It's All Coming Back to Me Now (Radio Version),5,1,nights
It's All Coming Back to Me Now (Radio Version),5,1,wind
It's All Coming Back to Me Now (Radio Version),5,1,cold
It's All Coming Back to Me Now (Radio Version),5,2,body
It's All Coming Back to Me Now (Radio Version),5,2,froze
It's All Coming Back to Me Now (Radio Version),5,2,bed
It's All Coming Back to Me Now (Radio Version),5,3,listened
It's All Coming Back to Me Now (Radio Version),5,4,window
It's All Coming Back to Me Now (Radio Version),5,5,days
It's All Coming Back to Me Now (Radio Version),5,5,sun
It's All Coming Back to Me Now (Radio Version),5,5,cruel
It's All Coming Back to Me Now (Radio Version),5,6,tears
It's All Coming Back to Me Now (Radio Version),5,6,dust
It's All Coming Back to Me Now (Radio Version),5,7,eyes
It's All Coming Back to Me Now (Radio Version),5,8,drying
It's All Coming Back to Me Now (Radio Version),5,8,forever
It's All Coming Back to Me Now (Radio Version),5,9,finished
It's All Coming Back to Me Now (Radio Version),5,9,crying
It's All Coming Back to Me Now (Radio Version),5,9,instant
It's All Coming Back to Me Now (Radio Version),5,9,left
It's All Coming Back to Me Now (Radio Version),5,10,remember
It's All Coming Back to Me Now (Radio Version),5,11,banished
It's All Coming Back to Me Now (Radio Version),5,11,memory
It's All Coming Back to Me Now (Radio Version),5,12,touch
It's All Coming Back to Me Now (Radio Version),5,13,hold
It's All Coming Back to Me Now (Radio Version),5,14,admit
It's All Coming Back to Me Now (Radio Version),5,15,coming
It's All Coming Back to Me Now (Radio Version),5,16,touch
It's All Coming Back to Me Now (Radio Version),5,17,hold
It's All Coming Back to Me Now (Radio Version),5,18,hard
It's All Coming Back to Me Now (Radio Version),5,19,coming
It's All Coming Back to Me Now (Radio Version),5,20,coming
It's All Coming Back to Me Now (Radio Version),5,20,coming
It's All Coming Back to Me Now (Radio Version),5,21,moments
It's All Coming Back to Me Now (Radio Version),5,21,gold
It's All Coming Back to Me Now (Radio Version),5,22,flashes
It's All Coming Back to Me Now (Radio Version),5,22,light
It's All Coming Back to Me Now (Radio Version),5,25,nights
It's All Coming Back to Me Now (Radio Version),5,25,endless
It's All Coming Back to Me Now (Radio Version),5,25,pleasure
It's All Coming Back to Me Now (Radio Version),5,26,laws
It's All Coming Back to Me Now (Radio Version),5,27,baby
It's All Coming Back to Me Now (Radio Version),5,27,baby
It's All Coming Back to Me Now (Radio Version),5,28,kiss
It's All Coming Back to Me Now (Radio Version),5,29,whisper
It's All Coming Back to Me Now (Radio Version),5,30,lost
It's All Coming Back to Me Now (Radio Version),5,30,ago
It's All Coming Back to Me Now (Radio Version),5,31,coming
It's All Coming Back to Me Now (Radio Version),5,34,dead
It's All Coming Back to Me Now (Radio Version),5,34,ago
It's All Coming Back to Me Now (Radio Version),5,35,coming
It's All Coming Back to Me Now (Radio Version),5,36,hard
It's All Coming Back to Me Now (Radio Version),5,36,resist
It's All Coming Back to Me Now (Radio Version),5,37,coming
It's All Coming Back to Me Now (Radio Version),5,38,barely
It's All Coming Back to Me Now (Radio Version),5,38,recall
It's All Coming Back to Me Now (Radio Version),5,39,coming
It's All Coming Back to Me Now (Radio Version),5,40,history
It's All Coming Back to Me Now (Radio Version),5,40,slamming
It's All Coming Back to Me Now (Radio Version),5,40,door
It's All Coming Back to Me Now (Radio Version),5,41,strong
It's All Coming Back to Me Now (Radio Version),5,42,wasted
It's All Coming Back to Me Now (Radio Version),5,42,time
It's All Coming Back to Me Now (Radio Version),5,43,touch
It's All Coming Back to Me Now (Radio Version),5,44,kiss
It's All Coming Back to Me Now (Radio Version),5,45,ago
It's All Coming Back to Me Now (Radio Version),5,46,coming
It's All Coming Back to Me Now (Radio Version),5,47,touch
It's All Coming Back to Me Now (Radio Version),5,48,kiss
It's All Coming Back to Me Now (Radio Version),5,49,wind
It's All Coming Back to Me Now (Radio Version),5,50,coming
It's All Coming Back to Me Now (Radio Version),5,51,coming
It's All Coming Back to Me Now (Radio Version),5,51,coming
It's All Coming Back to Me Now (Radio Version),5,52,moments
It's All Coming Back to Me Now (Radio Version),5,52,gold
It's All Coming Back to Me Now (Radio Version),5,53,flashes
It's All Coming Back to Me Now (Radio Version),5,53,light
It's All Coming Back to Me Now (Radio Version),5,56,nights
It's All Coming Back to Me Now (Radio Version),5,56,endless
It's All Coming Back to Me Now (Radio Version),5,56,pleasure
It's All Coming Back to Me Now (Radio Version),5,57,laws
It's All Coming Back to Me Now (Radio Version),5,58,baby
It's All Coming Back to Me Now (Radio Version),5,58,baby
It's All Coming Back to Me Now (Radio Version),5,58,baby
It's All Coming Back to Me Now (Radio Version),5,59,touch
It's All Coming Back to Me Now (Radio Version),5,60,hold
It's All Coming Back to Me Now (Radio Version),5,61,wind
It's All Coming Back to Me Now (Radio Version),5,62,coming
It's All Coming Back to Me Now (Radio Version),5,66,coming
It's All Coming Back to Me Now (Radio Version),5,67,flesh
It's All Coming Back to Me Now (Radio Version),5,67,fantasies
It's All Coming Back to Me Now (Radio Version),5,68,coming
It's All Coming Back to Me Now (Radio Version),5,69,barely
It's All Coming Back to Me Now (Radio Version),5,69,recall
It's All Coming Back to Me Now (Radio Version),5,70,coming
It's All Coming Back to Me Now (Radio Version),5,71,forgive
It's All Coming Back to Me Now (Radio Version),5,72,forgive
It's All Coming Back to Me Now (Radio Version),5,73,forgive
It's All Coming Back to Me Now (Radio Version),5,73,forget
It's All Coming Back to Me Now (Radio Version),5,74,coming
It's All Coming Back to Me Now (Radio Version),5,76,coming
It's All Coming Back to Me Now (Radio Version),5,77,kiss
It's All Coming Back to Me Now (Radio Version),5,78,coming
It's All Coming Back to Me Now (Radio Version),5,79,touch
It's All Coming Back to Me Now (Radio Version),5,80,coming
It's All Coming Back to Me Now (Radio Version),5,82,coming
Love Can Move Mountains (Radio Edit),6,1,faith
Love Can Move Mountains (Radio Edit),6,2,trust
Love Can Move Mountains (Radio Edit),6,3,love
Love Can Move Mountains (Radio Edit),6,4,love
Love Can Move Mountains (Radio Edit),6,5,love
Love Can Move Mountains (Radio Edit),6,6,love
Love Can Move Mountains (Radio Edit),6,6,move
Love Can Move Mountains (Radio Edit),6,6,mountains
Love Can Move Mountains (Radio Edit),6,7,dream
Love Can Move Mountains (Radio Edit),6,8,chance
Love Can Move Mountains (Radio Edit),6,8,true
Love Can Move Mountains (Radio Edit),6,9,takes
Love Can Move Mountains (Radio Edit),6,9,faith
Love Can Move Mountains (Radio Edit),6,9,baby
Love Can Move Mountains (Radio Edit),6,11,baby
Love Can Move Mountains (Radio Edit),6,12,love
Love Can Move Mountains (Radio Edit),6,12,rise
Love Can Move Mountains (Radio Edit),6,13,night
Love Can Move Mountains (Radio Edit),6,14,light
Love Can Move Mountains (Radio Edit),6,15,love
Love Can Move Mountains (Radio Edit),6,15,light
Love Can Move Mountains (Radio Edit),6,16,yeah
Love Can Move Mountains (Radio Edit),6,16,yeah
Love Can Move Mountains (Radio Edit),6,16,yeah
Love Can Move Mountains (Radio Edit),6,16,yeah
Love Can Move Mountains (Radio Edit),6,16,yeah
Love Can Move Mountains (Radio Edit),6,17,faith
Love Can Move Mountains (Radio Edit),6,18,trust
Love Can Move Mountains (Radio Edit),6,19,love
Love Can Move Mountains (Radio Edit),6,20,love
Love Can Move Mountains (Radio Edit),6,20,move
Love Can Move Mountains (Radio Edit),6,20,mountains
Love Can Move Mountains (Radio Edit),6,21,heart
Love Can Move Mountains (Radio Edit),6,22,feel
Love Can Move Mountains (Radio Edit),6,22,feel
Love Can Move Mountains (Radio Edit),6,22,soul
Love Can Move Mountains (Radio Edit),6,23,love
Love Can Move Mountains (Radio Edit),6,23,love
Love Can Move Mountains (Radio Edit),6,24,love
Love Can Move Mountains (Radio Edit),6,24,move
Love Can Move Mountains (Radio Edit),6,24,mountains
Love Can Move Mountains (Radio Edit),6,25,yeah
Love Can Move Mountains (Radio Edit),6,25,baby
Love Can Move Mountains (Radio Edit),6,26,oceans
Love Can Move Mountains (Radio Edit),6,26,deep
Love Can Move Mountains (Radio Edit),6,26,mountains
Love Can Move Mountains (Radio Edit),6,27,stop
Love Can Move Mountains (Radio Edit),6,28,love
Love Can Move Mountains (Radio Edit),6,28,baby
Love Can Move Mountains (Radio Edit),6,29,reach
Love Can Move Mountains (Radio Edit),6,29,heavens
Love Can Move Mountains (Radio Edit),6,29,touch
Love Can Move Mountains (Radio Edit),6,29,sky
Love Can Move Mountains (Radio Edit),6,30,baby
Love Can Move Mountains (Radio Edit),6,31,love
Love Can Move Mountains (Radio Edit),6,31,strong
Love Can Move Mountains (Radio Edit),6,33,love
Love Can Move Mountains (Radio Edit),6,34,yeah
Love Can Move Mountains (Radio Edit),6,34,yeah
Love Can Move Mountains (Radio Edit),6,34,yeah
Love Can Move Mountains (Radio Edit),6,34,yeah
Love Can Move Mountains (Radio Edit),6,34,yeah
Love Can Move Mountains (Radio Edit),6,35,faith
Love Can Move Mountains (Radio Edit),6,36,trust
Love Can Move Mountains (Radio Edit),6,37,love
Love Can Move Mountains (Radio Edit),6,38,love
Love Can Move Mountains (Radio Edit),6,38,move
Love Can Move Mountains (Radio Edit),6,38,mountains
Love Can Move Mountains (Radio Edit),6,39,heart
Love Can Move Mountains (Radio Edit),6,40,feel
Love Can Move Mountains (Radio Edit),6,40,feel
Love Can Move Mountains (Radio Edit),6,40,soul
Love Can Move Mountains (Radio Edit),6,41,love
Love Can Move Mountains (Radio Edit),6,41,love
Love Can Move Mountains (Radio Edit),6,42,love
Love Can Move Mountains (Radio Edit),6,42,move
Love Can Move Mountains (Radio Edit),6,42,mountains
Love Can Move Mountains (Radio Edit),6,43,feel
Love Can Move Mountains (Radio Edit),6,43,baby
Love Can Move Mountains (Radio Edit),6,48,love
Love Can Move Mountains (Radio Edit),6,48,strong
Love Can Move Mountains (Radio Edit),6,50,faith
Love Can Move Mountains (Radio Edit),6,51,trust
Love Can Move Mountains (Radio Edit),6,52,love
Love Can Move Mountains (Radio Edit),6,53,love
Love Can Move Mountains (Radio Edit),6,53,move
Love Can Move Mountains (Radio Edit),6,53,mountains
Love Can Move Mountains (Radio Edit),6,54,heart
Love Can Move Mountains (Radio Edit),6,55,feel
Love Can Move Mountains (Radio Edit),6,55,feel
Love Can Move Mountains (Radio Edit),6,55,soul
Love Can Move Mountains (Radio Edit),6,56,love
Love Can Move Mountains (Radio Edit),6,56,love
Love Can Move Mountains (Radio Edit),6,57,love
Love Can Move Mountains (Radio Edit),6,57,move
Love Can Move Mountains (Radio Edit),6,57,mountains
Love Can Move Mountains (Radio Edit),6,58,love
Love Can Move Mountains (Radio Edit),6,59,love
Love Can Move Mountains (Radio Edit),6,59,baby
Love Can Move Mountains (Radio Edit),6,61,baby
Love Can Move Mountains (Radio Edit),6,62,love
Love Can Move Mountains (Radio Edit),6,63,love
Love Can Move Mountains (Radio Edit),6,63,move
Love Can Move Mountains (Radio Edit),6,63,mountains
Love Can Move Mountains (Radio Edit),6,64,feeling
Love Can Move Mountains (Radio Edit),6,64,love
Love Can Move Mountains (Radio Edit),6,65,looove
Love Can Move Mountains (Radio Edit),6,66,baby
Love Can Move Mountains (Radio Edit),6,68,baby
To Love You More (Radio Edit),7,NA,NA
My Heart Will Go On,8,1,night
My Heart Will Go On,8,1,dreams
My Heart Will Go On,8,2,feel
My Heart Will Go On,8,4,distance
My Heart Will Go On,8,5,spaces
My Heart Will Go On,8,8,heart
My Heart Will Go On,8,9,door
My Heart Will Go On,8,10,heart
My Heart Will Go On,8,11,heart
